Alpha,Beta,Rho,Ants,Cost
5.0,3.0,0.4,30,872.1636364032308
5.0,3.0,0.4,50,1022.089299418682
5.0,3.0,0.4,70,1058.710403300557
5.0,3.0,0.4,100,1036.0391434066246
5.0,3.0,0.5,30,844.7276084906317
5.0,3.0,0.5,50,1006.6501022766593
5.0,3.0,0.5,70,964.5313744515176
5.0,3.0,0.5,100,916.5173484578163
5.0,4.0,0.1,30,1005.1062527175751
5.0,4.0,0.1,50,927.9687003305602
5.0,4.0,0.1,70,958.3145962751742
5.0,4.0,0.1,100,984.5785864109441
5.0,4.0,0.2,30,995.0631972370654
5.0,4.0,0.2,50,1026.9677044222847
5.0,4.0,0.2,70,918.3218447796911
5.0,4.0,0.2,100,849.9214419518255
5.0,4.0,0.3,30,1016.8924225295484
5.0,4.0,0.3,50,1010.2007200509263
5.0,4.0,0.3,70,944.0674924059836
5.0,4.0,0.3,100,1014.3239330655028
5.0,4.0,0.4,30,1045.5876261487012
5.0,4.0,0.4,50,1011.0887493528152
5.0,4.0,0.4,70,1027.7373908015657
5.0,4.0,0.4,100,914.9053455378466
5.0,4.0,0.5,30,985.4863187850437
5.0,4.0,0.5,50,977.4024920026128
5.0,4.0,0.5,70,1010.3644692175562
5.0,4.0,0.5,100,930.4385294454806
5.0,5.0,0.1,30,1011.5415150789665
5.0,5.0,0.1,50,1036.7884057476942
5.0,5.0,0.1,70,947.2551040696608
5.0,5.0,0.1,100,994.4552760306619
5.0,5.0,0.2,30,1019.6103114510613
5.0,5.0,0.2,50,1014.4787322155485
5.0,5.0,0.2,70,1017.4982992802188
5.0,5.0,0.2,100,951.667101924232
5.0,5.0,0.3,30,1086.0467757418025
5.0,5.0,0.3,50,1048.9086712961393
5.0,5.0,0.3,70,995.7291641220054
5.0,5.0,0.3,100,922.9074567804613
5.0,5.0,0.4,30,1044.6852655702264
5.0,5.0,0.4,50,966.0422897826463
5.0,5.0,0.4,70,1032.511496619449
5.0,5.0,0.4,100,845.1183515025318
5.0,5.0,0.5,30,1044.5045982373265
5.0,5.0,0.5,50,1050.1095201247538
5.0,5.0,0.5,70,1095.1382681641076
5.0,5.0,0.5,100,1068.9574212312687
